from_address,total_txfees ETH,total_txfees USD
0x2cc42d1cd65af27cc999e41ef93d1a763dc821f8,0.187119995,39.29519895
0xa258b39954cef5cb142fd567a46cddb31a670124,8.73E-04,0.1832355
0xc898fbee1cc94c0ff077faa5449915a506eff384,0.008040885,1.688585745
0xaf8ae6955d07776ab690e565ba6fbc79b8de3a5d,46.34390842,9732.220768
0x0e8ba001a821f3ce0734763d008c9d7c957f5852,0.004386415,0.921147127
0x55890b06f0877a01bb5349d93b202961f8e27a9b,9.96E-04,0.209158446
0x7219612be7036d1bfa933e16ca1246008f38c5fe,9.694464263,2035.837495
0x8d1c1571367a148e92d6ac83494b1bdf3b497d07,0.003943433,0.828121
0xc692453625023c6e03fec04158ea31ab4de2650a,0.129784045,27.25464948
0xd2045edc40199019e221d71c0913343f7908d0d5,188.1986467,39521.71581
0x4524baa98f9a3b9dec57caae7633936ef96bd708,0.434065004,91.15365084
0x49497a4d914ae91d34ce80030fe620687bf333fd,614.6527124,129077.0696
0x0681e844593a051e2882ec897ecd5444efe19ff2,671.2460995,140961.6809
0x37c4bcaba4bcf3a605414236b8b108f160eb45a6,0.001063,0.22323
0xc22d5b2951db72b44cfb8089bb8cd374a3c354ea,0.018680832,3.922974657
0xe269e891a2ec8585a378882ffa531141205e92e9,1231.679305,258652.6541
0xa7a7899d944fe658c4b0a1803bab2f490bd3849e,26400.00528,5544001.11
